Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Wuhan University,China,100.0,59.5,55.3,100.0,,270.6,免费评估
2,马里兰大学University of Maryland-College Park,UnitedStates,67.5,60.3,83.3,91.1,,235.5,免费评估
3,加利福尼亚理工学院California Institute of Technology,UnitedStates,59.4,56.3,71.4,88.1,,218.1,免费评估
4,Beijing Normal University,China,72.3,53.8,80.0,74.6,,216.7,免费评估
5,Paul Sabatier University (Toulouse 3),France,53.8,64.0,87.2,72.4,,207.7,免费评估
6,波士顿大学Boston University,UnitedStates,35.4,86.2,83.9,51.4,,189.8,免费评估
7,University of Iceland,Iceland,32.8,91.0,97.0,45.9,,189.1,免费评估
8,Xidian University,China,59.6,50.3,47.4,63.9,,183.3,免费评估
9,University of Twente,Netherlands,51.9,54.5,91.5,58.4,,183.0,免费评估
10,University of Lisbon,Portugal,31.3,83.9,93.4,44.4,,178.3,免费评估
11,University of Coimbra,Portugal,23.4,100.0,96.7,32.8,,175.5,免费评估
12,Institut National Polytechnique de Grenoble,France,28.6,87.2,98.8,38.5,,174.0,免费评估
13,University of Valencia,Spain,38.5,63.2,85.1,54.4,,173.1,免费评估
14,University of Trento,Italy,33.1,69.1,89.1,50.6,,170.6,免费评估
15,University of Extremadura,Spain,33.0,84.1,92.5,34.8,,170.4,免费评估
16,新南威尔士大学The University of New South Wales,Australia,39.5,65.4,87.3,47.4,,169.7,免费评估
17,Tsinghua University,China,44.6,60.3,80.5,47.8,,168.7,免费评估
18,Swiss Federal Institute of Technology Zurich,Switzerland,32.5,68.3,93.8,46.9,,166.4,免费评估
19,科罗拉多大学波尔得分校University of Colorado Boulder,UnitedStates,38.9,63.8,67.0,48.3,,164.3,免费评估
20,University of Helsinki,Finland,36.8,61.8,77.3,50.1,,164.2,免费评估
21,University of Zurich,Switzerland,31.2,68.6,95.9,44.9,,163.9,免费评估
21,Université Grenoble Alpes,France,30.8,74.7,96.2,39.0,,163.9,免费评估
23,Technical University Munich,Germany,39.8,64.7,67.8,44.9,,162.9,免费评估
23,University of Massachusetts Boston,UnitedStates,23.8,82.2,77.9,41.3,,162.9,免费评估
25,Peking University,China,44.2,57.9,71.1,46.4,,162.8,免费评估
26,香港理工大学The Hong Kong Polytechnic University,China-HongKong,43.9,57.1,60.4,49.7,,162.7,免费评估
27,Delft University of Technology,Netherlands,41.7,57.3,90.7,45.4,,162.6,免费评估
28,Nanjing University,China,48.7,51.6,71.3,47.4,,161.9,免费评估
29,俄亥俄州立大学Ohio State University,UnitedStates,38.3,54.0,75.9,53.2,,160.7,免费评估
30,University of Wageningen,Netherlands,36.0,62.3,95.0,39.6,,156.9,免费评估
30,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",UnitedStates,29.6,69.8,78.1,41.8,,156.9,免费评估
32,Vienna University of Technology,Austria,34.2,66.6,95.8,36.7,,156.6,免费评估
33,National University of Defense Technology,China,49.7,46.0,51.9,49.7,,155.8,免费评估
34,Mississippi State University,UnitedStates,32.5,75.4,78.1,32.1,,155.6,免费评估
35,"加州大学伯克利分校University of California,Berkeley",UnitedStates,32.5,64.3,84.3,41.3,,155.0,免费评估
36,Polytechnic University of Catalonia,Spain,39.1,53.2,73.3,46.9,,153.8,免费评估
37,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,UnitedStates,39.1,53.4,76.4,44.9,,152.7,免费评估
38,University of Oklahoma - Norman,UnitedStates,34.0,55.9,79.2,46.4,,152.2,免费评估
39,蒙纳什大学Monash University,Australia,26.5,64.7,89.2,42.4,,151.4,免费评估
40,英属哥伦比亚大学University of British Columbia,Canada,30.7,59.7,82.7,43.4,,150.3,免费评估
40,Humboldt University of Berlin,Germany,24.3,76.9,81.6,32.8,,150.3,免费评估
42,南达科他州立大学South Dakota State University,UnitedStates,28.2,72.4,54.7,37.9,,149.4,免费评估
43,University of Nebraska - Lincoln,UnitedStates,27.7,69.5,85.5,34.8,,149.0,免费评估
44,科罗拉多州立大学Colorado State University (CSU),UnitedStates,37.2,48.7,68.7,49.2,,148.8,免费评估
45,Sun Yat-sen University,China,31.5,61.8,84.8,37.9,,148.1,免费评估
46,Norwegian University of Life Sciences,Norway,25.3,68.1,89.4,36.7,,148.0,免费评估
47,University of Copenhagen,Denmark,23.6,71.0,95.8,32.8,,146.5,免费评估
48,滑铁卢大学University of Waterloo,Canada,33.9,52.5,89.4,41.3,,145.6,免费评估
49,俄勒冈州立大学Oregon State University,UnitedStates,27.3,62.3,71.5,41.3,,145.2,免费评估
50,"悉尼科技大学University of Technology, Sydney",Australia,24.1,67.5,99.3,32.8,,144.2,免费评估
